PLAYER,HEIGHT,POSITION,BIRTH_DATE,PLAYER_SLUG
Adou Thiero,6-7,G,"MAY 08, 2004",adou-thiero
Jarred Vanderbilt,6-8,F,"APR 03, 1999",jarred-vanderbilt
Dalton Knecht,6-6,F,"APR 19, 2001",dalton-knecht
Deandre Ayton,7-0,C,"JUL 23, 1998",deandre-ayton
Bronny James,6-2,G,"OCT 06, 2004",bronny-james
Luke Kennard,6-5,G,"JUN 24, 1996",luke-kennard
Jaxson Hayes,7-0,C-F,"MAY 23, 2000",jaxson-hayes
Jake LaRavia,6-7,F,"NOV 03, 2001",jake-laravia
Maxi Kleber,6-10,F,"JAN 29, 1992",maxi-kleber
Austin Reaves,6-5,G,"MAY 29, 1998",austin-reaves
Drew Timme,6-9,F,"SEP 09, 2000",drew-timme
Nick Smith Jr.,6-2,G,"APR 18, 2004",nick-smith-jr
LeBron James,6-9,F,"DEC 30, 1984",lebron-james
Rui Hachimura,6-8,F,"FEB 08, 1998",rui-hachimura
Chris Mañon,6-4,G,"DEC 09, 2001",chris-mañon
Marcus Smart,6-3,G,"MAR 06, 1994",marcus-smart
Luka Dončić,6-8,F-G,"FEB 28, 1999",luka-dončić
